NLC,NAME,EASTING,NORTHING,LINES,NETWORK,London Underground,Elizabeth Line,London Overground,DLR,Zone,x,y,Night Tube?
687,Rickmansworth,505716,194601,Metropolitan,London Underground,Yes,,,,7,-0.472133393,51.63979883,No
688,Roding Valley,541590,192895,Central,London Underground,Yes,,,,4,0.045340184,51.61657815,No
690,Royal Oak,525834,181571,"Circle, Hammersmith & City",London Underground,Yes,,,,2,-0.186186162,51.51854003,No
691,Ruislip,509474,187004,"Metropolitan, Piccadilly",London Underground,Yes,,,,6,-0.420215108,51.57079343,No
692,Ruislip Gardens,510266,185852,Central,London Underground,Yes,,,,5,-0.409140537,51.56027575,No
693,Ruislip Manor,510160,187262,"Metropolitan, Piccadilly",London Underground,Yes,,,,6,-0.410235646,51.57297789,No
694,Russell Square,530229,182128,Piccadilly,London Underground,Yes,,,,1,-0.122662273,51.52255053,Yes
695,St. James's Park,529647,179498,"Circle, District",London Underground,Yes,,,,1,-0.132021543,51.49905006,No
696,St. John's Wood,526735,183391,Jubilee,London Underground,Yes,,,,2,-0.172545248,51.53469852,Yes
697,St. Paul's,532108,181274,Central,London Underground,Yes,,,,1,-0.095907533,51.51444286,Yes
698,Seven Sisters,533643,188931,"London Overground, Victoria",London Underground,Yes,,Yes,,3,-0.070894139,51.58289546,Yes
700,Shepherd's Bush LU,523720,179884,Central,London Underground,Yes,,,,2,-0.217238899,51.50384346,Yes
702,Sloane Square,528091,178655,"Circle, District",London Underground,Yes,,,,1,-0.15473274,51.49182524,No
703,Snaresbrook,540157,188804,Central,London Underground,Yes,,,,4,0.023019902,51.58017276,Yes
704,South Ealing,517575,179354,Piccadilly,London Underground,Yes,,,,3,-0.305919519,51.50039136,Yes
705,Southfields,524726,173313,District,London Underground,Yes,,,,3,-0.205058529,51.4445635,No
706,Southgate,529676,194265,Piccadilly,London Underground,Yes,,,,4,-0.126150933,51.6317626,Yes
707,South Harrow,514321,186361,Piccadilly,London Underground,Yes,,,,5,-0.350509518,51.56404932,No
708,South Kensington,526918,178820,"District, Piccadilly, Circle",London Underground,Yes,,,,1,-0.171564291,51.49357736,Yes
709,South Kenton,517336,187060,"Bakerloo, London Overground",London Underground,Yes,,Yes,,4,-0.306785037,51.56971265,No
710,South Ruislip,511097,185434,Central,London Underground,Yes,,,,5,-0.39728854,51.55635983,No
711,South Wimbledon,525736,169989,Northern,London Underground,Yes,,,,"3,4",-0.191711278,51.41446924,Yes
712,South Woodford,540536,190063,Central,London Underground,Yes,,,,4,0.028990141,51.59138934,Yes
713,Stamford Brook,521859,178789,District,London Underground,Yes,,,,2,-0.244408726,51.49440814,No
714,Stanmore,517563,192573,Jubilee,London Underground,Yes,,,,5,-0.30167142,51.61921632,Yes
715,Stepney Green,535621,182136,"District, Hammersmith & City",London Underground,Yes,,,,2,-0.044974603,51.52135166,No
716,Stockwell,530460,176433,"Northern, Victoria",London Underground,Yes,,,,2,-0.121436641,51.47131386,Yes
717,Stonebridge Park,519616,184218,"Bakerloo, London Overground",London Underground,Yes,,Yes,,3,-0.27487576,51.54368887,No
718,Charing Cross LU,530058,180378,"Bakerloo, Northern",London Underground,Yes,,,,1,-0.125777173,51.50686754,Yes
719,Stratford,538530,184395,"Central, DLR, Jubilee, London Overground, TfL Rail",London Underground,Yes,Yes,Yes,Yes,"2,3",-0.002182514,51.54094802,Yes
720,Sudbury Hill,515412,185542,Piccadilly,London Underground,Yes,,,,4,-0.335039246,51.55646384,No
721,Sudbury Town,516875,184890,Piccadilly,London Underground,Yes,,,,4,-0.314159662,51.55030341,No
723,Swiss Cottage,526664,184335,Jubilee,London Underground,Yes,,,,2,-0.173237239,51.54319998,Yes
724,Temple,530959,180803,"Circle, District",London Underground,Yes,,,,1,-0.112643564,51.5104742,No
725,Theydon Bois,545542,199101,Central,London Underground,Yes,,,,6,0.104967288,51.67133739,No
726,Tooting Bec,528047,172374,Northern,London Underground,Yes,,,,3,-0.15763366,51.4353811,Yes
727,Tooting Broadway,527434,171443,Northern,London Underground,Yes,,,,3,-0.166791248,51.42715702,Yes
728,Tottenham Court Road,529815,181382,"Central, Northern, TfL Rail",London Underground,Yes,Yes,,,1,-0.128897348,51.51594793,Yes
729,Tottenham Hale LU,534484,189471,Victoria,London Underground,Yes,,,,3,-0.058547162,51.58754655,Yes
730,Totteridge & Whetstone,526120,193989,Northern,London Underground,Yes,,,,4,-0.177599794,51.63009248,Yes
731,Tower Hill,533579,180755,"Circle, District",London Underground,Yes,,,,1,-0.074913869,51.50943419,No
733,Tufnell Park,529149,185860,Northern,London Underground,Yes,,,,2,-0.136858377,51.5563398,Yes
734,Turnham Green,521266,178779,"District, Piccadilly",London Underground,Yes,,,,"2,3",-0.252958803,51.494448,Yes
735,Turnpike Lane,531513,189638,Piccadilly,London Underground,Yes,,,,3,-0.101359413,51.58975112,Yes
736,Upminster,556146,186868,"District, London Overground",London Underground,Yes,,Yes,,6,0.252767235,51.55857711,No
737,Upminster Bridge,555088,186770,District,London Underground,Yes,,,,6,0.237476635,51.55798569,No
738,Upney,545846,184254,District,London Underground,Yes,,,,4,0.103187503,51.53784406,No
739,Upton Park,541254,183793,"District, Hammersmith & City",London Underground,Yes,,,,3,0.036836325,51.53487026,No
740,Uxbridge,505661,184161,"Metropolitan, Piccadilly",London Underground,Yes,,,,6,-0.4760666,51.54596187,No
741,Victoria LU,528999,179130,"Circle, District, Victoria",London Underground,Yes,,,,1,-0.141485017,51.49588954,Yes
742,Walthamstow Central,537176,188994,"London Overground, Victoria",London Underground,Yes,,Yes,,3,-0.019895332,51.58261626,Yes
743,Wanstead,540673,188254,Central,London Underground,Yes,,,,4,0.030247766,51.57509659,Yes
745,Warren Street,529249,182266,"Northern, Victoria",London Underground,Yes,,,,1,-0.136735811,51.52401887,Yes
746,Warwick Avenue,526112,182039,Bakerloo,London Underground,Yes,,,,2,-0.182005998,51.52269118,No
747,Waterloo LU,530968,179962,"Bakerloo, Jubilee, Northern, Waterloo & City",London Underground,Yes,,,,1,-0.112818812,51.50291418,Yes
748,Watford,509569,196596,Metropolitan,London Underground,Yes,,,,7,-0.415832512,51.65699167,No
749,Stratford High Street,538752,184020,DLR,,,,,Yes,"2,3",0.000869889,51.53752645,No
750,Abbey Road,539077,183399,DLR,,,,,Yes,"2,3",0.005308217,51.5318653,No
751,Wembley Central,518183,185085,"Bakerloo, London Overground",London Underground,Yes,,Yes,,4,-0.295237517,51.55177912,No
752,Wembley Park,519316,186388,"Metropolitan, Jubilee",London Underground,Yes,,,,4,-0.278458638,51.56325938,Yes
753,West Acton,519373,181296,Central,London Underground,Yes,,,,3,-0.279364414,51.51747345,Yes
754,Westbourne Park,524901,181756,"Circle, Hammersmith & City",London Underground,Yes,,,,2,-0.199554267,51.52041239,No
755,West Brompton,525381,178024,"District, London Overground",London Underground,Yes,,Yes,,2,-0.193973832,51.48676791,No
756,West Finchley,525546,191627,Northern,London Underground,Yes,,,,4,-0.186738929,51.60898928,Yes
757,West Ham,539131,182945,"District, DLR, Hammersmith & City, Jubilee",London Underground,Yes,,,Yes,"2,3",0.00590508,51.52776913,Yes
758,West Hampstead LU,525592,184653,Jubilee,London Underground,Yes,,,,2,-0.188568627,51.54629707,Yes
759,West Harrow,514200,188029,Metropolitan,London Underground,Yes,,,,5,-0.351706569,51.57906815,No
760,West Kensington,524685,178398,District,London Underground,Yes,,,,2,-0.203860054,51.49027946,No
761,Westminster,530196,179668,"Circle, District, Jubilee",London Underground,Yes,,,,1,-0.124052209,51.50045311,Yes
762,West Ruislip,508379,186796,Central,London Underground,Yes,,,,6,-0.436073394,51.56913097,No
763,Whitechapel,534698,181851,"District, Hammersmith & City, London Overground, TfL Rail",London Underground,Yes,Yes,Yes,,2,-0.05838503,51.51901529,Yes
764,White City,523308,180748,Central,London Underground,Yes,,,,2,-0.222866489,51.51170695,Yes
765,Willesden Green,523329,184883,Jubilee,London Underground,Yes,,,,"2,3",-0.221119357,51.54886838,Yes
766,Willesden Junction,521858,182960,"Bakerloo, London Overground",London Underground,Yes,,Yes,,"2,3",-0.242978972,51.5318981,No
767,Wimbledon,524800,170684,District,London Underground,Yes,,,,3,-0.204921053,51.42091587,No
768,Wimbledon Park,525282,172100,District,London Underground,Yes,,,,3,-0.19749098,51.43353749,No
769,Woodford,540950,191740,Central,London Underground,Yes,,,,4,0.035640856,51.60635963,No
770,Wood Green,531015,190428,Piccadilly,London Underground,Yes,,,,3,-0.108246806,51.5969712,Yes
771,Woodside Park,525718,192588,Northern,London Underground,Yes,,,,4,-0.183907004,51.61758971,Yes
773,Hammersmith (H&C),523325,178698,"Circle, Hammersmith & City",London Underground,Yes,,,,2,-0.223334507,51.49327356,No
774,Edgware Road (Bak),527047,181759,Bakerloo,London Underground,Yes,,,,1,-0.168645951,51.51996099,No
775,Shepherd's Bush Market,523197,180064,"Circle, Hammersmith & City",London Underground,Yes,,,,2,-0.224700725,51.50558155,No
776,Pimlico,529671,178333,Victoria,London Underground,Yes,,,,1,-0.132103672,51.48856954,Yes
777,Vauxhall LU,530337,177973,Victoria,London Underground,Yes,,,,"1,2",-0.122646146,51.48518446,Yes
778,Brixton LU,531052,175429,Victoria,London Underground,Yes,,,,2,-0.113288835,51.46215131,Yes
779,Hatton Cross,509608,175363,Piccadilly,London Underground,Yes,,,,"5,6",-0.42189306,51.4661174,Yes
780,Heathrow Terminals 123 LU,507586,175840,Piccadilly,London Underground,Yes,,,,6,-0.450857772,51.47079421,Yes
781,Heathrow Terminal 4 LU,508082,174430,Piccadilly,London Underground,Yes,,,,6,-0.444145672,51.45802947,Yes
783,Heathrow Terminal 5 LU,505109,175924,Piccadilly,London Underground,Yes,,,,6,-0.486475608,51.47201647,Yes
784,Southwark,531592,180074,Jubilee,London Underground,Yes,,,,1,-0.103788452,51.50377646,Yes
787,Bermondsey,534460,179416,Jubilee,London Underground,Yes,,,,2,-0.062745893,51.49718984,Yes
788,Canada Water,535475,179472,"Jubilee, London Overground",London Underground,Yes,,Yes,,2,-0.048105945,51.49744864,Yes
789,North Greenwich,539216,179859,Jubilee,London Underground,Yes,,,,"2,3",0.005908784,51.50002099,Yes
831,Nine Elms,530058,177332,Northern,London Underground,Yes,,,,1,-0.128500983,51.48000105,No
832,Battersea Power Station,529122,177252,Northern,London Underground,Yes,,,,1,-0.142001351,51.47949634,No
842,Canary Wharf DLR,537450,180322,DLR,,,,,Yes,2,-0.019337121,51.50461022,No
850,All Saints,537979,180993,DLR,,,,,Yes,2,-0.011456278,51.51051157,No
851,Bow Church,537393,182829,DLR,,,,,Yes,2,-0.01918061,51.52715522,No
852,Canary Wharf LU,537677,180140,Jubilee,London Underground,Yes,,,,2,-0.016134819,51.50291749,Yes
853,Langdon Park,537894,181442,DLR,,,,,Yes,2,-0.012505001,51.51456754,No
854,Crossharbour,537927,179309,DLR,,,,,Yes,2,-0.012863868,51.49538997,No
855,Heron Quays,537421,180122,DLR,,,,,Yes,2,-0.019832666,51.50281981,No
856,Island Gardens,538227,178444,DLR,,,,,Yes,2,-0.008883221,51.48754261,No
857,Mudchute,537904,178750,DLR,,,,,Yes,2,-0.013413578,51.49037168,No
858,Poplar,537701,180617,DLR,,,,,Yes,2,-0.015607274,51.50720026,No
859,Pudding Mill Lane,537847,183568,DLR,,,,,Yes,"2,3",-0.012349897,51.53368602,No
860,Shadwell DLR,534947,180986,DLR,,,,,Yes,2,-0.05512963,51.51118155,No
861,South Quay,537597,179824,DLR,,,,,Yes,2,-0.017414424,51.50009877,No
862,Limehouse DLR,536127,181086,DLR,,,,,Yes,2,-0.038095069,51.51179704,No
864,Tower Gateway,533706,180834,DLR,,,,,Yes,1,-0.073061976,51.51011047,No
865,Westferry,537023,180798,DLR,,,,,Yes,2,-0.025301528,51.50899182,No
866,West India Quay,537495,180586,DLR,,,,,Yes,2,-0.018586106,51.50697183,No
867,Devons Road,537639,182257,DLR,,,,,Yes,2,-0.015859691,51.52195436,No
879,Cutty Sark,538206,177733,DLR,,,,,Yes,"2,3",-0.009463903,51.48115778,No
882,Blackwall,538398,180664,DLR,,,,,Yes,2,-0.005550544,51.50745237,No
883,East India,538732,180831,DLR,,,,,Yes,"2,3",-0.000674542,51.50887121,No
884,Canning Town,539428,181377,"DLR, Jubilee ",London Underground,Yes,,,Yes,"2,3",0.009568884,51.51360991,Yes
886,Royal Victoria,540122,180852,DLR,,,,,Yes,3,0.019349595,51.50871834,No
887,Custom House,540731,180925,"DLR, TfL Rail",,,Yes,,Yes,3,0.028149357,51.50922299,No
888,Prince Regent,541264,180899,DLR,,,,,Yes,3,0.035815177,51.50885626,No
889,Star Lane,539145,182115,DLR,,,,,Yes,"2,3",0.005780604,51.52030887,No
890,Royal Albert,542077,180815,DLR,,,,,Yes,3,0.047489859,51.50789742,No
891,Beckton Park,542705,180873,DLR,,,,,Yes,3,0.056557435,51.50826026,No
893,Cyprus,543331,180860,DLR,,,,,Yes,3,0.065567428,51.50798477,No
894,Gallions Reach,543872,180929,DLR,,,,,Yes,3,0.073386821,51.50846722,No
895,Beckton,543165,181514,DLR,,,,,Yes,3,0.063442568,51.51390419,No
897,Deptford Bridge,537438,176892,DLR,,,,,Yes,"2,3",-0.020845808,51.47378671,No
898,Elverson Road,537877,176280,DLR,,,,,Yes,"2,3",-0.014766759,51.46817948,No
928,Greenwich,538052,177334,DLR,,,,,Yes,"2,3",-0.011836627,51.47760944,No
940,Lewisham DLR,538046,175946,DLR,,,,,Yes,"2,3",-0.012465383,51.46513641,No
1022,Haggerston,533560,183992,London Overground,,,,Yes,,2,-0.073966769,51.53852752,Yes
1023,Hoxton,533576,183148,London Overground,,,,Yes,,"1,2",-0.074056385,51.53093841,Yes
1024,Shoreditch High Street,533555,182248,London Overground,,,,Yes,,1,-0.074700292,51.52285471,Yes
1039,Rotherhithe,535299,179811,London Overground,,,,Yes,,2,-0.050510094,51.50053752,Yes
1082,Shadwell LO,534932,180932,London Overground,,,,Yes,,2,-0.055365921,51.51070004,Yes
1083,Surrey Quays,535631,178962,London Overground,,,,Yes,,2,-0.046055836,51.49282777,Yes
1085,Wapping,535023,180174,London Overground,,,,Yes,,2,-0.054345515,51.50386599,Yes
1335,Barking Riverside,546824,182141,London Overground,,,,Yes,,4,0.114764,51.519108,No
1395,Bushey,511823,195237,London Overground,,,,Yes,,8,-0.38369919,51.64433251,No
1398,Hatch End,513054,191323,London Overground,,,,Yes,,6,-0.367177631,51.60890473,No
1402,Watford Junction,511021,197351,London Overground,,,,Yes,,8,-0.394615064,51.6634936,No
1404,Acton Central,520296,181196,London Overground,,,,Yes,,3,-0.263430195,51.50875735,No
1409,Gospel Oak,528277,185673,London Overground,,,,Yes,,2,-0.149494861,51.55486145,No
1413,Hampstead Heath,527265,185636,London Overground,,,,Yes,,2,-0.164099101,51.55475816,No
1415,Kilburn High Road,525475,183594,London Overground,,,,Yes,,2,-0.190635722,51.53680577,No
1421,West Hampstead LO,525579,184651,London Overground,,,,Yes,,2,-0.188759559,51.54628297,No
1429,Dalston Kingsland,533528,185027,London Overground,,,,Yes,,2,-0.074035153,51.54783695,No
1437,Brondesbury,524760,184467,London Overground,,,,Yes,,2,-0.200631035,51.5448108,No
1438,Brondesbury Park,524227,183953,London Overground,,,,Yes,,2,-0.208495753,51.54030862,No
1439,Caledonian Road & Barnsbury,530765,184374,London Overground,,,,Yes,,2,-0.114106929,51.54261531,No
1440,Camden Road,529171,184178,London Overground,,,,Yes,,2,-0.137154414,51.54122083,No
1441,Canonbury,532384,185035,London Overground,,,,Yes,,2,-0.090522836,51.54817851,Yes
1442,Carpenders Park,511833,193398,London Overground,,,,Yes,,7,-0.384142381,51.62780024,No
1443,Dalston Junction,533578,184692,London Overground,,,,Yes,,2,-0.07344152,51.5448144,Yes
1444,Euston NR,529608,182690,London Overground,,,,Yes,,1,-0.131403702,51.52774704,No
1445,Finchley Road & Frognal,526063,185057,London Overground,,,,Yes,,2,-0.181637018,51.54982406,No
1448,Kensal Rise,523578,183250,London Overground,,,,Yes,,2,-0.218097094,51.53413249,No
1449,Kentish Town West,528597,184691,London Overground,,,,Yes,,2,-0.145240267,51.54596266,No
1451,South Hampstead,526369,184096,London Overground,,,,Yes,,2,-0.177570816,51.54111829,No
1452,South Acton,520148,179250,London Overground,,,,Yes,,3,-0.268894276,51.49891951,No
1455,Watford High Street,511326,196075,London Overground,,,,Yes,,8,-0.390612987,51.6519637,No
1524,Upper Holloway,529776,186621,London Overground,,,,Yes,,2,-0.127532858,51.56303879,No
3000,Acton Main Line,520357,182233,TfL Rail,,,Yes,,,3,-0.2668,51.5171,No
3087,Paddington NR,526659,181314,TfL Rail,,,Yes,,,1,-0.174388339,51.51605291,No
3147,Maidenhead,488724,180745,TfL Rail,,,Yes,,,-1,-0.722674911,51.51866743,No
3149,Reading,471527,173813,TfL Rail,,,Yes,,,-1,-0.971877621,51.45878457,No
3151,Taplow,491579,181340,TfL Rail,,,Yes,,,-1,-0.681384851,51.52356084,No
3155,Twyford,479041,175787,TfL Rail,,,Yes,,,-1,-0.863306993,51.47553253,No
3170,Iver,503729,179898,TfL Rail,,,Yes,,,-1,-0.506740419,51.5085013,No
3171,Langley,501299,179800,TfL Rail,,,Yes,,,-1,-0.541770556,51.50806077,No
3172,Slough,497838,180157,TfL Rail,,,Yes,,,-1,-0.591524825,51.51187888,No
3174,West Drayton,506124,180122,TfL Rail,,,Yes,,,6,-0.472176084,51.51007045,No
3176,Burnham,494007,181378,TfL Rail,,,Yes,,,-1,-0.646388208,51.52350399,No
3186,Headstone Lane,513869,190584,London Overground,,,,Yes,,5,-0.355651952,51.60209779,No
3186,Hayes and Harlington,509717,179417,TfL Rail,,,Yes,,,5,-0.420641893,51.50304839,No
3187,Southall,512620,179804,TfL Rail,,,Yes,,,4,-0.378711181,51.50595629,No
3188,West Ealing,516690,180749,TfL Rail,,,Yes,,,3,-0.319782949,51.51362468,No
3191,Hanwell,514944,180392,TfL Rail,,,Yes,,,4,-0.343467405,51.51026707,No
5131,Abbey Wood,547297,179002,TfL Rail,,,Yes,,,4,0.003723371,51.531952,No
5150,New Cross,536751,177109,London Overground,,,,Yes,,2,-0.030648703,51.47590464,No
5301,Clapham High Street,529804,175717,London Overground,,,,Yes,,2,-0.131145084,51.46503062,No
5345,New Cross Gate,536195,176937,London Overground,,,,Yes,,2,-0.038716887,51.47449297,Yes
5356,Crystal Palace,534111,170555,London Overground,,,,Yes,,"3,4",-0.071128264,51.41763277,No
5362,Forest Hill,535400,172936,London Overground,,,,Yes,,3,-0.051690278,51.43872534,No
5372,Wandsworth Road,529390,176196,London Overground,,,,Yes,,2,-0.136926893,51.46943062,No
5376,Norwood Junction,534012,168233,London Overground,,,,Yes,,4,-0.073428759,51.39678711,No
5378,Penge West,534942,170503,London Overground,,,,Yes,,4,-0.059203378,51.41696823,No
5397,Anerley,534617,169899,London Overground,,,,Yes,,4,-0.06410424,51.411617,No
5404,Brockley,536431,175789,London Overground,,,,Yes,,2,-0.035763775,51.46411871,No
5411,West Croydon NR,532133,166072,London Overground,,,,Yes,,5,-0.101229704,51.37780543,No
5418,Honor Oak Park,535896,174137,London Overground,,,,Yes,,3,-0.044096334,51.44940041,No
5420,Battersea Park,528703,176999,London Overground,,,,Yes,,2,-0.14812376,51.47731808,No
5421,Denmark Hill,532792,176078,London Overground,,,,Yes,,2,-0.088015106,51.46758176,No
5423,Peckham Rye,534222,176360,London Overground,,,,Yes,,2,-0.067330906,51.46977879,No
5424,Queens Road Peckham,535011,176751,London Overground,,,,Yes,,2,-0.055827609,51.47310519,No
5437,Sydenham,535369,171585,London Overground,,,,Yes,,3,-0.052652564,51.42659082,No
5595,Clapham Junction,527211,175416,London Overground,,,,Yes,,2,-0.16856542,51.4629141,No
6560,Canary Wharf EL,537650,180451,TfL Rail,,,Yes,,,2,-0.0180268,51.5062331,No
6562,Woolwich,543931,178994,TfL Rail,,,Yes,,,4,0.071819,51.491578,No
6814,Cheshunt,536644,202316,London Overground,,,,Yes,,8,-0.022373213,51.70246665,No
6867,Hackney Downs,534551,185122,London Overground,,,,Yes,,2,-0.059252378,51.54844772,No
6872,Brentwood,559339,193033,TfL Rail,,,Yes,,,9,0.301589064,51.61307149,No
6874,Chadwell Heath,547676,187607,TfL Rail,,,Yes,,,5,0.130973337,51.56749975,No
6876,Forest Gate,540470,185339,TfL Rail,,,Yes,,,3,0.02615387,51.54895648,No
6877,Gidea Park,552906,189285,TfL Rail,,,Yes,,,6,0.2071101,51.58117713,No
6878,Goodmayes,546398,187292,TfL Rail,,,Yes,,,4,0.112414564,51.56500163,No
6879,Harold Wood,554777,190568,TfL Rail,,,Yes,,,6,0.234666819,51.59219909,No
6881,Ilford,543535,186486,TfL Rail,,,Yes,,,4,0.07080065,51.55848898,No
6883,Manor Park,541951,185707,TfL Rail,,,Yes,,,4,0.047651015,51.55189321,No
6886,Romford,551387,188501,"London Overground, TfL Rail",,,Yes,Yes,,6,0.184863954,51.57454494,No
6888,Shenfield,561361,194981,TfL Rail,,,Yes,,,-1,0.331671253,51.6300009,No
6893,Seven Kings,545454,187093,TfL Rail,,,Yes,,,4,0.098722803,51.5634541,No
6913,Bush Hill Park,533690,195389,London Overground,,,,Yes,,5,-0.067751096,51.64092455,No
6914,Chingford,539210,194632,London Overground,,,,Yes,,5,0.011677573,51.63278212,No
6919,Highams Park,538582,191843,London Overground,,,,Yes,,4,0.00150512,51.607873,No
