NLC,NAME,EASTING,NORTHING,LINES,NETWORK,London Underground,Elizabeth Line,London Overground,DLR,Zone,x,y,Night Tube?
9485,Phipps Bridge,526529,168725,Tramlink,Tramlink,,,,,4,-0.180769806,51.40292944,No
9486,Reeves Corner,531903,165672,Tramlink,Tramlink,,,,,5,-0.104688108,51.37426316,No
9487,Sandilands,533890,165741,Tramlink,Tramlink,,,,,5,-0.07612476,51.37441486,No
9488,Centrale,532066,165786,Tramlink,Tramlink,,,,,5,-0.102295527,51.37525458,No
9491,Therapia Lane,530283,166842,Tramlink,Tramlink,,,,,4,-0.127515047,51.38515495,No
9497,Waddon Marsh,531090,165897,Tramlink,Tramlink,,,,,5,-0.116278811,51.37647839,No
9498,Wandle Park,531414,165512,Tramlink,Tramlink,,,,,5,-0.111770014,51.37293871,No
9499,Wellesley Road,532506,165769,Tramlink,Tramlink,,,,,5,-0.095978591,51.37499854,No
9586,Imperial Wharf,526291,176691,London Overground,,,,Yes,,2,-0.181347614,51.47457995,No
9587,Shepherd's Bush NR,523720,179920,London Overground,,,,Yes,,2,-0.217219888,51.50417089,No
9846,Heathrow Terminal 5 EL,505109,175924,TfL Rail,,,Yes,,,6,-0.486475608,51.47201647,No
