,NLC,Station,En/Ex 2007,En/Ex 2008,En/Ex 2009,En/Ex 2010,En/Ex 2011,En/Ex 2012,En/Ex 2013,En/Ex 2014,En/Ex 2015,En/Ex 2016,En/Ex 2017,En/Ex 2018,En/Ex 2019,En/Ex 2020,En/Ex 2021,LINES,NETWORK,London Underground,Elizabeth Line,London Overground,DLR,Night Tube?
125,633.0,Leytonstone,9444787.0,9855499.0,9699503.0,9794737.0,10452827.0,10102833.0,10379073.0,11054539.0,11244737.0,11300919.0,10431470.0,9744447.0,9822700.0,5650715.0,4259419.0,Central,London Underground,Yes,,,,Yes
126,634.0,Liverpool Street LU,61317307.0,64161950.00000001,60907538.0,62721399.0,63645304.0,64234700.0,67893591.0,73661457.0,73257321.0,71614231.0,64501949.0,66141465.0,67202755.0,16267905.0,26596893.0,"Central, Circle, Hammersmith & City, London Overground, Metropolitan",London Underground,Yes,,Yes,,Yes
127,635.0,London Bridge LU,56954458.0,60551773.0,61494909.0,60787026.0,65444278.0,67155180.0,69884482.0,74976665.0,71964428.0,70735683.0,65684647.0,70676629.0,74343494.0,24721911.0,30857082.0,"Northern, Jubilee",London Underground,Yes,,,,Yes
128,636.0,Loughton,2466212.0,2663002.0,2672388.0,2764862.0,2999623.0,3016770.0,3166344.0,3255416.0,3272688.0,3448907.0,3412794.0,3301688.0,3473615.0,1747510.0,1606879.0,Central,London Underground,Yes,,,,Yes
129,637.0,Maida Vale,3051129.0,3212250.0,3161346.0,3068287.0,2993997.0,3150688.0,3347805.0,3448597.0,3382758.0,3409091.0,3118278.0,3150058.0,3302961.0,1538572.0,1433954.0,Bakerloo,London Underground,Yes,,,,No
130,638.0,Manor House,9296363.0,8650838.0,8830283.0,8833270.0,9214029.0,9234179.0,9259062.0,9392025.0,9275642.0,9122653.0,8214650.0,7827043.0,8554567.0,3599717.0,3593706.0,Piccadilly,London Underground,Yes,,,,Yes
131,639.0,Mansion House,5109887.0,5320220.0,7034245.0,7199238.0,7416215.0,5645557.0,5769586.0,6195631.0,5561213.0,6136459.0,6140305.0,7106682.0,6789496.0,1067130.0,2088948.0,"Circle, District",London Underground,Yes,,,,No
132,640.0,Marble Arch,14966834.0,16299987.999999998,16619129.999999998,17794335.0,16873081.0,15685686.0,16361602.999999998,16106113.0,15442682.0,14108617.0,13254257.0,12451407.0,12159194.0,3657164.0,5242933.0,Central,London Underground,Yes,,,,Yes
133,641.0,Marylebone LU,10800625.0,11381962.0,11730105.0,11394980.0,11401050.0,12111551.0,13398300.0,13295479.0,12525312.0,12948293.0,12988295.0,13075755.0,12881989.0,2630669.0,4597698.0,Bakerloo,London Underground,Yes,,,,No
134,642.0,Mile End,12084543.0,13302852.0,13522044.0,13230676.0,14014809.0,14057083.0,14370438.0,15596293.0,16310716.0,15746922.0,14928464.0,14686759.0,14971042.0,6787729.0,6644477.0,"District, Hammersmith & City, Central",London Underground,Yes,,,,Yes
135,643.0,Mill Hill East,958106.0,1002002.0000000001,1042902.0,1047214.0000000001,1090284.0,1104434.0,1165330.0,1286493.0,1318158.0,1340993.0,1318680.0,1350943.0,1407857.0,813926.0,764644.0,Northern,London Underground,Yes,,,,No
136,645.0,Moorgate,21017118.0,22222955.0,21182382.0,21038801.0,21227293.0,20594422.0,21381249.2496,25895151.0,26062630.0,27565959.0,25828308.0,24646666.0,25050824.0,5839734.0,8789962.0,"Circle, Hammersmith & City, Metropolitan",London Underground,Yes,,,,No
137,646.0,Moor Park,734858.0,756467.0,771167.0,781118.0,824464.0,814953.0,824391.0,886420.0,886390.0,914852.0,897017.0,913450.0,932748.0,593315.0,463133.0,Metropolitan,London Underground,Yes,,,,No
138,647.0,Morden,6281507.0,6650982.0,6981638.0,6756228.0,7195083.0,7276884.0,7696341.0,8617393.0,9275569.0,10056185.0,9872702.0,9689216.0,9815261.0,5488034.0,4421002.0,Northern,London Underground,Yes,,,,Yes
139,648.0,Mornington Crescent,4047460.0,4289579.0,4479064.0,4670839.0,4302147.0,4550432.0,4651775.0,4756065.0,4531089.0,5039573.0,4779258.0,4300182.0,4001482.0,1331040.0,1425296.0,Northern,London Underground,Yes,,,,Yes
140,649.0,Neasden,3331902.0,2991282.0,2853674.0,2658500.0,2701449.0,2914263.0,3107451.0,3413900.0,3672470.0,3749439.0,3646639.0,3400938.0,3450466.0,2478884.0,1564012.0,Jubilee,London Underground,Yes,,,,Yes
